state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
NV,125,area_code_510,no,no,0,2013.4,99,28.66,1107.6,107,14.93,243.3,92,10.95,10.9,7,2.94,0,no
HI,108,area_code_415,no,no,0,291.6,99,49.57,221.1,93,18.79,229.2,110,10.31,14,9,3.78,2,yes
DC,82,area_code_415,no,no,0,300.3,109,51.05,181,100,15.39,270.1,73,12.15,11.7,4,3.16,0,yes
HI,NA,area_code_408,no,yes,30,110.3,71,18.75,182.4,108,15.5,183.8,88,8.27,11,8,2.97,2,no
OH,83,area_code_415,no,no,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,yes
MO,89,area_code_415,no,no,0,178.7,81,30.38,NA,74,19.86,131.9,120,5.94,9.1,4,2.46,1,no
NC,135,area_code_415,no,no,0,201.8,81,34.31,225,114,19.13,204.4,82,9.2,10.3,6,2.78,1,no
PA,28,area_code_415,no,no,0,168.2,87,28.59,161.7,92,13.74,192.4,112,8.66,10.1,3,2.73,3,no
IA,86,area_code_408,no,no,0,1974.5,115,21.47,1100.8,112,14.35,154.6,95,6.96,9.8,7,2.65,2,no
IN,65,area_code_415,no,no,0,129.1,137,21.95,NA,83,19.42,208.8,111,9.4,12.7,6,3.43,4,yes
DE,125,area_code_408,no,no,0,126.7,108,21.54,206,90,17.51,247.8,114,11.15,13.3,7,3.59,1,no
MI,NA,area_code_415,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA, ,yes
ID,NA,area_code_415,no,yes,32,247,109,41.99,125.6,91,10.68,226.5,90,10.19,10.5,4,2.84,3,no
ID,NA,area_code_510,no,no,0,150.9,79,25.65,161.8,87,13.75,167.7,115,7.55,11.7,5,3.16,3,no
KY,106,area_code_510,no,yes,9,88.5,100,15.05,324.8,109,27.61,79.9,86,3.6,8.2,4,2.21,3,no
MS,131,area_code_415,no,no,0,2019.3,95,22.37,1111.3,109,15.24,251.2,129,11.3,15.5,3,4.19,1,yes
NY,65,area_code_510,no,no,0,195.4,110,33.22,181.2,109,15.4,178.5,105,8.03,8.9,4,2.4,0,no
DC,108,area_code_408,no,yes,35,215.9,106,36.7,200.6,107,17.05,195.4,107,8.79,15.5,7,4.19,0,no
MA,97,area_code_408,no,no,-4,217.6,81,36.99,320.5,51,27.24,150.7,110,6.78,4.2,3,1.13,0,no
AR,33,area_code_415,yes,no,0,164,99,27.88,153.1,102,13.01,123.8,104,5.57,6.4,4,1.73,0,no
NC,122,area_code_415,no,no,0,180,88,30.6,145,77,12.33,233.7,120,10.52,11.5,6,3.11,2,no
AZ,127,area_code_415,no,yes,14,143.2,99,24.34,169.9,91,14.44,221.6,77,9.97,11.6,1,3.13,1,no
NV,89,area_code_415,no,no,0,134.9,59,22.93,NA,152,13.26,197.5,112,8.89,10.2,5,2.75,1,no
MT,131,area_code_415,no,yes,24,135.9,60,23.1,233.2,78,19.82,210.6,121,9.48,9.4,4,2.54,1,no
OR,134,area_code_415,no,yes,50,2138.3,130,35.5,1064.9,104,11.3,136.7,107,6.15,11.1,4,3,2,no
IN,130,area_code_408,no,yes,30,185,117,31.45,249.5,141,21.21,157.8,103,7.1,7.4,7,2,0,no
MT,54,area_code_408,no,no,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,no
FL,113,area_code_510,no,no,0,92.6,85,15.74,177.6,92,15.1,159.8,72,7.19,14.4,4,3.89,3,no
MD,73,area_code_510,no,no,0,254.7,80,43.3,90.2,79,7.67,153.4,60,6.9,10.6,8,2.86,0,no
TN,108,area_code_510,no,yes,34,162.1,83,27.56,171.8,117,14.6,259.8,76,11.69,9.6,3,2.59,4,yes
KY,64,area_code_415,yes,no,0,146.7,83,24.94,148.3,91,12.61,238.6,69,10.74,12.5,3,3.38,3,no
MA,NA,area_code_510,no,no,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA,yes
NY,NA,area_code_415,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,no
AZ,192,area_code_415,no,yes,36,156.2,77,26.55,215.5,126,18.32,279.1,83,12.56,9.9,6,2.67,2,no
KS,57,area_code_415,no,no,-2,158.1,117,26.88,115.2,149,9.79,182.4,92,8.21,11.8,7,3.19,0,no
NV,22,area_code_510,no,no,0,160.4,108,27.27,218.1,88,18.54,192.9,115,8.68,12.5,4,3.38,1,no
